Model,Period,RMSE,MAE,Bias,R,R2,MaxErr,Std_pred,Std_obs
LSTM,Overall,0.15053724668368793,0.11249927330487001,0.0009825143411260984,0.9184250213975406,0.8435045199290728,0.4671392661136835,0.38009872685304363,0.34196432326430337
LSTM,Jan,0.11713955794105546,0.09498394724061487,-0.0516259106923518,0.8952481085577308,0.8014691758761946,0.2417585147151726,0.230104168995218,0.229337775011551
LSTM,Feb,0.21480400228978333,0.17352197943397177,0.023736364943823255,0.6922253348996089,0.4791759142768757,0.4671392661136835,0.28575942250255704,0.2530155870619635
LSTM,Mar,0.10195166743154364,0.07489731641380747,0.033039074314103335,0.952105020133532,0.9065039693634734,0.2811077270999327,0.3095296696548658,0.27613495422577644
N-BEATS,Overall,0.15063892047796332,0.11346435017082854,0.0011974639111727412,0.9160391465064456,0.8391277179322573,0.44858870056526,0.37552878888134883,0.34196432326430337
N-BEATS,Jan,0.12111267390585506,0.09843801968060518,-0.0565790110424088,0.8877741240484383,0.7881428953299718,0.2386384493596374,0.2216081821649234,0.229337775011551
N-BEATS,Feb,0.21279875323826591,0.1721968760301927,0.031187249124683993,0.6798636140805328,0.4622145337506436,0.44858870056526,0.2714309973377504,0.2530155870619635
N-BEATS,Mar,0.10154265857363527,0.07544194762678748,0.03188639092996993,0.9520346109975356,0.906369900537229,0.2918774574173959,0.3093101365102153,0.27613495422577644
MOIRAI,Overall,0.159810990017531,0.12373888306414997,0.008625111473633644,0.8948731689037464,0.800797988423833,0.4416249161603645,0.35260382851492694,0.34196432326430337
MOIRAI,Jan,0.13638320005199867,0.11566501018618594,-0.03332688831823503,0.8182833139194486,0.6695875818389949,0.2592232987470773,0.19821670138401923,0.229337775011551
MOIRAI,Feb,0.22254497826695313,0.18496130347203849,0.06242320233277111,0.662221268300599,0.43853700818965397,0.4416249161603645,0.2659722428796614,0.2530155870619635
MOIRAI,Mar,0.10398705672154358,0.07651508589627917,0.001985287263700734,0.9419112337533592,0.8871967722707752,0.289288151450247,0.3070846476534688,0.27613495422577644
